% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.021	1	4	3	2	1	0	81	0	0
0.022	1	4	3	3	1	0	81	0	0
0.023	1	4	3	4	1	0	81	0	0
0.024	1	4	3	5	1	0	81	0	0
0.025	1	4	3	6	1	0	81	0	0
0.026	1	4	3	7	1	22	1383	0	0
0.027	1	4	3	8	1	22	1383	0	0
0.028	1	9	3	9	3	20	1191	0	0
0.029	1	9	3	10	3	20	1191	0	0
0.03	1	5	4	1	4	20	1191	0	0
0.031	1	10	4	2	9	22	1383	0	0
0.032	1	10	4	3	9	22	1383	0	0
0.033	1	9	4	4	3	18	967	0	0
0.034	1	10	4	5	9	18	967	0	0
0.035	1	5	4	6	4	16	903	0	0
0.036	1	4	4	7	1	16	903	0	0
0.037	1	4	4	8	1	16	903	0	0
0.038	1	4	4	9	1	14	775	0	0
0.039	1	10	4	10	9	24	1620	0	0
0.04	1	10	5	1	9	24	1620	0	0
0.041	1	10	5	2	9	26	1836	0	0
0.042	1	10	5	3	9	26	1836	0	0
0.043	1	8	5	4	11	22	1383	0	0
0.044	1	8	5	5	11	22	1383	0	0
0.045	1	8	5	6	11	24	1620	0	0
0.046	1	8	5	7	11	24	1620	0	0
0.047	1	10	5	8	9	24	1620	0	0
0.048	1	10	5	9	9	24	1620	0	0
0.049	1	10	5	10	9	26	1836	0	0
0.05	1	10	6	1	9	26	1836	0	0
0.051	1	10	6	2	9	22	1383	0	0
0.052	1	7	6	3	2	22	1383	0	0
0.053	1	7	6	4	2	22	1383	0	0
0.054	1	7	6	5	2	20	1191	0	0
0.055	1	8	6	6	11	24	1620	0	0
0.056	1	8	6	7	11	24	1620	0	0
0.057	1	9	6	8	3	22	1383	0	0
0.058	1	9	6	9	3	22	1383	0	0
0.059	1	9	6	10	3	22	1383	0	0
0.06	1	8	7	1	11	20	1191	0	0
0.061	1	5	7	2	4	18	967	0	0
0.062	1	9	7	3	3	20	1191	0	0
0.063	1	6	7	4	12	22	1383	0	0
0.064	1	9	7	5	3	22	1383	0	0
0.065	1	9	7	6	3	22	1383	0	0
0.066	1	9	7	7	3	24	1620	0	0
0.067	1	9	7	8	3	24	1620	0	0
0.068	1	10	7	9	9	16	903	0	0
