% time	cellId	IMSI	RNTI	rsrp	sinr
0.000214285	1	1	0	1.03442e-15	5.47779
0.000214285	1	5	0	9.30978e-15	49.3001
0.000214285	1	6	0	1.13786e-14	60.2557
0.000214285	1	7	0	1.34475e-14	71.2113
0.000214285	1	8	0	1.55163e-14	82.1669
0.000214285	1	9	0	1.75851e-14	93.1225
0.000214285	1	4	0	7.24094e-15	38.3446
0.000214285	1	3	0	5.1721e-15	27.389
0.000214285	1	2	0	3.10326e-15	16.4334
0.000214285	1	10	0	1.9654e-14	104.078
0.00121429	1	1	0	1.84032e-15	9.74544
0.00121429	1	5	0	6.83354e-15	36.1871
0.00121429	1	6	0	5.21529e-15	27.6177
0.00121429	1	7	0	1.47624e-15	7.81745
0.00121429	1	8	0	1.3807e-14	73.1151
0.00121429	1	9	0	3.60447e-16	1.90876
0.00121429	1	4	0	1.25131e-15	6.62632
0.00121429	1	3	0	3.076e-15	16.289
0.00121429	1	2	0	3.95678e-16	2.09532
0.00121429	1	10	0	2.6653e-16	1.41142
0.00221428	1	1	0	1.03422e-15	5.47671
0.00221428	1	5	0	6.14032e-15	32.5162
0.00221428	1	6	0	1.35718e-15	7.18696
0.00221428	1	7	0	5.37568e-15	28.467
0.00221428	1	8	0	5.65463e-16	2.99442
0.00221428	1	9	0	3.63183e-15	19.2324
0.00221428	1	4	0	8.82196e-16	4.67169
0.00221428	1	3	0	1.46352e-15	7.75012
0.00221428	1	2	0	1.0757e-15	5.69642
0.00221428	1	10	0	2.19734e-16	1.1636
0.00321428	1	1	0	6.55091e-16	3.46905
0.00321428	1	5	0	3.0783e-15	16.3012
0.00321428	1	6	0	1.52081e-16	0.805349
0.00321428	1	7	0	1.04712e-14	55.4503
0.00321428	1	8	0	4.96151e-15	26.2738
0.00321428	1	9	0	9.39074e-15	49.7289
0.00321428	1	4	0	6.60141e-16	3.49579
0.00321428	1	3	0	4.14028e-16	2.1925
0.00321428	1	2	0	1.49987e-15	7.94262
0.00321428	1	10	0	1.06502e-15	5.63982
0.00421428	1	1	0	6.49029e-16	3.43695
0.00421428	1	5	0	6.9323e-16	3.67102
0.00421428	1	6	0	2.03763e-15	10.7903
0.00421428	1	7	0	1.41559e-14	74.9628
0.00421428	1	8	0	1.64048e-14	86.8718
0.00421428	1	9	0	8.85421e-15	46.8877
0.00421428	1	4	0	1.51248e-16	0.800939
0.00421428	1	3	0	4.02723e-16	2.13263
0.00421428	1	2	0	1.66797e-15	8.83279
0.00421428	1	10	0	1.83222e-15	9.70258
0.00521428	1	1	0	8.30328e-16	4.39702
0.00521428	1	5	0	5.80344e-17	0.307322
0.00521428	1	6	0	5.79523e-15	30.6888
0.00521428	1	7	0	1.33496e-14	70.6933
0.00521428	1	8	0	1.68471e-14	89.2144
0.00521428	1	9	0	4.51216e-15	23.8943
0.00521428	1	4	0	4.42804e-15	23.4488
0.00521428	1	3	0	1.05312e-15	5.57682
0.00521428	1	2	0	2.34531e-15	12.4197
0.00521428	1	10	0	3.11009e-15	16.4696
0.00621428	1	1	0	1.22984e-15	6.51265
0.00621428	1	5	0	4.26909e-16	2.26071
0.00621428	1	6	0	9.5666e-15	50.6601
0.00621428	1	7	0	7.71386e-15	40.8489
0.00621428	1	8	0	6.93579e-15	36.7286
0.00621428	1	9	0	6.56735e-15	34.7775
0.00621428	1	4	0	1.5204e-14	80.5131
0.00621428	1	3	0	1.78672e-15	9.46162
0.00621428	1	2	0	3.926e-15	20.7902
0.00621428	1	10	0	4.59063e-15	24.3098
0.00721428	1	1	0	1.82714e-15	9.67564
0.00721428	1	5	0	2.53822e-15	13.4412
0.00721428	1	6	0	1.15814e-14	61.3298
0.00721428	1	7	0	1.75321e-15	9.28415
0.00721428	1	8	0	2.30611e-15	12.212
0.00721428	1	9	0	1.67203e-14	88.5429
0.00721428	1	4	0	2.43603e-14	129
0.00721428	1	3	0	2.43797e-15	12.9103
0.00721428	1	2	0	5.31484e-15	28.1448
0.00721428	1	10	0	4.76396e-15	25.2277
0.00821428	1	1	0	2.20019e-15	11.6512
0.00821428	1	5	0	7.86554e-15	41.6521
0.00821428	1	6	0	1.1921e-14	63.1279
0.00821428	1	7	0	8.68591e-16	4.59964
0.00821428	1	8	0	8.19804e-15	43.4129
0.00821428	1	9	0	2.34504e-14	124.182
0.00821428	1	4	0	2.25743e-14	119.543
0.00821428	1	3	0	3.17512e-15	16.8139
0.00821428	1	2	0	4.79799e-15	25.4078
0.00821428	1	10	0	3.23856e-15	17.1499
0.00921428	1	1	0	1.84314e-15	9.76038
0.00921428	1	5	0	1.40503e-14	74.4035
0.00921428	1	6	0	1.32439e-14	70.1333
0.00921428	1	7	0	4.91477e-15	26.0263
0.00921428	1	8	0	1.28181e-14	67.8785
0.00921428	1	9	0	1.74089e-14	92.1893
0.00921428	1	4	0	1.19615e-14	63.3426
0.00921428	1	3	0	3.64314e-15	19.2924
0.00921428	1	2	0	2.37346e-15	12.5687
0.00921428	1	10	0	1.90315e-15	10.0782
0.0102143	1	1	0	8.69905e-16	4.6066
0.0102143	1	5	0	1.5139e-14	80.1688
0.0102143	1	6	0	1.78256e-14	94.3957
0.0102143	1	7	0	8.14293e-15	43.121
0.0102143	1	8	0	7.64149e-15	40.4657
0.0102143	1	9	0	5.08729e-15	26.9399
0.0102143	1	4	0	3.16666e-15	16.7691
0.0102143	1	3	0	2.98702e-15	15.8178
0.0102143	1	2	0	2.59065e-16	1.37189
0.0102143	1	10	0	3.08509e-15	16.3371
0.0112143	1	1	0	1.22596e-16	0.649211
0.0112143	1	5	0	9.15894e-15	48.5014
0.0112143	1	6	0	2.39128e-14	126.631
0.0112143	1	7	0	6.52831e-15	34.5708
0.0112143	1	8	0	7.48297e-16	3.96262
0.0112143	1	9	0	4.42916e-16	2.34547
0.0112143	1	4	0	1.46121e-15	7.73787
0.0112143	1	3	0	1.38977e-15	7.35957
0.0112143	1	2	0	4.00372e-16	2.12018
0.0112143	1	10	0	7.13041e-15	37.7592
0.0122143	1	1	0	3.2923e-16	1.74345
0.0122143	1	5	0	2.10477e-15	11.1459
0.0122143	1	6	0	2.69402e-14	142.662
0.0122143	1	7	0	3.05667e-15	16.1867
0.0122143	1	8	0	3.75766e-15	19.8988
0.0122143	1	9	0	5.05821e-15	26.7859
0.0122143	1	4	0	2.45967e-15	13.0252
0.0122143	1	3	0	8.7222e-16	4.61886
0.0122143	1	2	0	1.94735e-15	10.3122
0.0122143	1	10	0	1.1582e-14	61.3328
0.0132143	1	1	0	1.22248e-15	6.47367
0.0132143	1	5	0	8.76154e-16	4.63969
0.0132143	1	6	0	2.45976e-14	130.257
0.0132143	1	7	0	3.71471e-15	19.6713
0.0132143	1	8	0	1.3972e-14	73.9891
0.0132143	1	9	0	7.43019e-15	39.3467
0.0132143	1	4	0	1.78939e-15	9.47573
0.0132143	1	3	0	3.13359e-15	16.594
0.0132143	1	2	0	2.41329e-15	12.7796
0.0132143	1	10	0	1.28066e-14	67.8174
0.0142143	1	1	0	1.80429e-15	9.55467
0.0142143	1	5	0	4.20008e-15	22.2416
0.0142143	1	6	0	1.89959e-14	100.593
0.0142143	1	7	0	9.29016e-15	49.1962
0.0142143	1	8	0	1.93875e-14	102.667
0.0142143	1	9	0	2.48534e-15	13.1612
0.0142143	1	4	0	1.10849e-15	5.87001
0.0142143	1	3	0	6.7076e-15	35.5202
0.0142143	1	2	0	1.21846e-15	6.45238
0.0142143	1	10	0	9.43651e-15	49.9712
0.0152143	1	1	0	1.47088e-15	7.78907
0.0152143	1	5	0	4.96974e-15	26.3173
0.0152143	1	6	0	1.36888e-14	72.4895
0.0152143	1	7	0	1.41491e-14	74.9271
0.0152143	1	8	0	1.61338e-14	85.4368
0.0152143	1	9	0	1.23588e-15	6.54462
0.0152143	1	4	0	2.39565e-15	12.6862
0.0152143	1	3	0	7.96897e-15	42.1998
0.0152143	1	2	0	6.15954e-16	3.2618
0.0152143	1	10	0	4.91601e-15	26.0328
0.0162143	1	1	0	6.28373e-16	3.32757
0.0162143	1	5	0	1.51681e-15	8.03232
0.0162143	1	6	0	1.0279e-14	54.4329
0.0162143	1	7	0	1.31584e-14	69.6808
0.0162143	1	8	0	1.12319e-14	59.4788
0.0162143	1	9	0	1.41214e-14	74.7802
0.0162143	1	4	0	3.08045e-15	16.3126
0.0162143	1	3	0	5.49279e-15	29.0872
0.0162143	1	2	0	2.32012e-15	12.2862
0.0162143	1	10	0	4.85774e-15	25.7243
0.0172143	1	1	0	1.04584e-16	0.553829
0.0172143	1	5	0	4.86514e-16	2.57635
0.0172143	1	6	0	8.35069e-15	44.2213
0.0172143	1	7	0	7.49724e-15	39.7018
0.0172143	1	8	0	9.42918e-15	49.9324
0.0172143	1	9	0	3.20515e-14	169.729
0.0172143	1	4	0	1.6456e-15	8.7143
0.0172143	1	3	0	2.00222e-15	10.6028
0.0172143	1	2	0	4.70971e-15	24.9404
0.0172143	1	10	0	1.01431e-14	53.713
0.0182143	1	1	0	1.66747e-16	0.88301
0.0182143	1	5	0	6.56086e-15	34.7432
0.0182143	1	6	0	6.72401e-15	35.6071
0.0182143	1	7	0	2.18077e-15	11.5483
0.0182143	1	8	0	7.73039e-15	40.9364
0.0182143	1	9	0	3.56613e-14	188.845
0.0182143	1	4	0	2.53087e-15	13.4023
0.0182143	1	3	0	6.6156e-16	3.5033
0.0182143	1	2	0	4.80773e-15	25.4594
0.0182143	1	10	0	1.50398e-14	79.6437
0.0192143	1	1	0	3.8979e-16	2.06414
0.0192143	1	5	0	1.42311e-14	75.3609
0.0192143	1	6	0	4.48006e-15	23.7242
0.0192143	1	7	0	1.39273e-16	0.737522
0.0192143	1	8	0	3.49541e-15	18.51
0.0192143	1	9	0	2.08052e-14	110.174
0.0192143	1	4	0	9.39003e-15	49.7251
0.0192143	1	3	0	1.20596e-15	6.38619
0.0192143	1	2	0	2.38655e-15	12.638
0.0192143	1	10	0	1.391e-14	73.6608
0.0202143	1	1	0	3.5498e-16	1.8798
0.0202143	1	5	0	1.44567e-14	76.5558
0.0202143	1	6	0	1.80945e-15	9.582
0.0202143	1	7	0	2.56612e-16	1.35889
0.0202143	1	8	0	2.67956e-16	1.41897
0.0202143	1	9	0	4.34446e-15	23.0062
0.0202143	1	4	0	1.69268e-14	89.636
0.0202143	1	3	0	1.2913e-15	6.8381
0.0202143	1	2	0	2.77984e-16	1.47207
0.0202143	1	10	0	7.95224e-15	42.1113
0.0212143	1	1	0	1.37237e-16	0.726743
0.0212143	1	5	4	7.23876e-15	38.333
0.0212143	1	6	0	3.73238e-16	1.97649
0.0212143	1	7	2	4.838e-16	2.56198
0.0212143	1	8	0	1.58074e-15	8.37082
0.0212143	1	9	3	1.95411e-15	10.348
0.0212143	1	4	1	1.64099e-14	86.8992
0.0212143	1	3	0	6.19472e-16	3.28043
