% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.026	1	4	3	7	1	0	19
0.026	1	7	3	7	2	0	19
0.026	1	9	3	7	3	0	19
0.026	1	5	3	7	4	0	19
0.027	1	4	3	8	1	0	19
0.027	1	7	3	8	2	0	19
0.027	1	9	3	8	3	0	19
0.027	1	5	3	8	4	0	19
0.028	1	4	3	9	1	0	19
0.028	1	7	3	9	2	0	19
0.028	1	9	3	9	3	0	19
0.028	1	5	3	9	4	0	19
0.029	1	4	3	10	1	0	19
0.029	1	7	3	10	2	0	19
0.03	1	9	4	1	3	0	19
0.03	1	5	4	1	4	0	19
0.03	1	4	4	1	1	0	19
0.03	1	7	4	1	2	0	19
0.031	1	9	4	2	3	0	7
0.031	1	5	4	2	4	0	7
0.031	1	10	4	2	9	0	7
0.031	1	2	4	2	10	0	7
0.031	1	8	4	2	11	0	7
0.031	1	6	4	2	12	0	7
0.031	1	4	4	2	1	0	7
0.031	1	7	4	2	2	0	7
0.032	1	9	4	3	3	0	7
0.032	1	5	4	3	4	0	7
0.032	1	10	4	3	9	0	7
0.032	1	2	4	3	10	0	7
0.032	1	8	4	3	11	0	7
0.032	1	6	4	3	12	0	7
0.032	1	4	4	3	1	0	7
0.032	1	7	4	3	2	0	7
0.033	1	9	4	4	3	2	18
0.033	1	5	4	4	4	2	18
0.033	1	10	4	4	9	0	7
0.033	1	2	4	4	10	0	7
0.033	1	8	4	4	11	0	7
0.033	1	6	4	4	12	0	7
0.033	1	7	4	4	2	0	7
0.034	1	9	4	5	3	2	18
0.034	1	5	4	5	4	2	18
0.034	1	10	4	5	9	0	7
0.034	1	2	4	5	10	0	7
0.034	1	8	4	5	11	0	7
0.034	1	6	4	5	12	0	7
0.034	1	7	4	5	2	0	7
0.035	1	9	4	6	3	2	18
0.035	1	5	4	6	4	2	18
0.035	1	10	4	6	9	0	7
0.035	1	2	4	6	10	0	7
0.035	1	8	4	6	11	0	7
0.035	1	6	4	6	12	0	7
0.035	1	7	4	6	2	0	7
0.036	1	9	4	7	3	2	18
0.036	1	5	4	7	4	2	18
0.036	1	10	4	7	9	0	7
0.036	1	2	4	7	10	0	7
0.036	1	8	4	7	11	0	7
0.036	1	6	4	7	12	0	7
0.037	1	9	4	8	3	4	26
0.037	1	5	4	8	4	2	18
0.037	1	10	4	8	9	0	7
0.037	1	2	4	8	10	0	7
0.037	1	8	4	8	11	0	7
0.037	1	6	4	8	12	0	7
0.038	1	7	4	9	2	4	26
0.038	1	9	4	9	3	2	18
0.038	1	10	4	9	9	0	7
0.038	1	2	4	9	10	0	7
0.038	1	8	4	9	11	0	7
0.038	1	6	4	9	12	0	7
0.039	1	7	4	10	2	4	26
0.039	1	9	4	10	3	0	7
0.039	1	5	4	10	4	0	7
0.039	1	10	4	10	9	0	7
0.039	1	2	4	10	10	0	7
0.04	1	4	5	1	1	4	26
0.04	1	9	5	1	3	2	18
0.042	1	9	5	3	3	2	18
0.042	1	5	5	3	4	0	7
0.043	1	7	5	4	2	4	26
0.043	1	9	5	4	3	2	18
0.044	1	7	5	5	2	4	26
0.044	1	9	5	5	3	0	7
0.044	1	5	5	5	4	0	7
0.045	1	4	5	6	1	4	26
0.045	1	9	5	6	3	2	18
0.049	1	7	5	10	2	0	7
0.05	1	4	6	1	1	4	26
0.05	1	9	6	1	3	0	7
0.052	1	9	6	3	3	2	18
0.055	1	9	6	6	3	4	26
0.057	1	9	6	8	3	2	18
0.06	1	4	7	1	1	2	18
0.065	1	4	7	6	1	2	18
0.065	1	9	7	6	3	8	49
0.067	1	9	7	8	3	10	57
0.07	1	9	8	1	3	8	49
0.072	1	9	8	3	3	10	57
0.075	1	4	8	6	1	0	7
0.075	1	9	8	6	3	2	18
0.077	1	9	8	8	3	4	26
0.08	1	4	9	1	1	0	7
0.082	1	9	9	3	3	8	49
0.085	1	9	9	6	3	4	26
0.087	1	9	9	8	3	2	18
0.09	1	9	10	1	3	4	26
0.092	1	9	10	3	3	0	7
0.095	1	9	10	6	3	2	18
0.163	1	9	17	4	3	4	26
0.164	1	4	17	5	1	0	7
0.164	1	5	17	5	4	6	32
0.165	1	4	17	6	1	2	18
0.167	1	9	17	8	3	0	7
0.168	1	9	17	9	3	4	26
0.169	1	4	17	10	1	0	7
0.169	1	5	17	10	4	6	32
0.17	1	4	18	1	1	2	18
0.172	1	9	18	3	3	0	7
0.172	1	10	18	3	9	4	26
0.173	1	9	18	4	3	4	26
0.173	1	8	18	4	11	0	7
0.174	1	2	18	5	10	0	7
0.175	1	8	18	6	11	2	18
0.175	1	6	18	6	12	4	26
0.175	1	4	18	6	1	2	18
0.176	1	3	18	7	15	2	18
0.177	1	9	18	8	3	0	7
0.177	1	10	18	8	9	4	26
0.178	1	8	18	9	11	0	7
0.179	1	2	18	10	10	0	7
0.18	1	8	19	1	11	2	18
0.18	1	6	19	1	12	4	26
0.181	1	3	19	2	15	2	18
0.182	1	10	19	3	9	6	32
0.183	1	9	19	4	3	4	26
0.184	1	2	19	5	10	0	7
0.186	1	3	19	7	15	0	7
0.188	1	9	19	9	3	4	26
0.189	1	2	19	10	10	0	7
0.19	1	6	20	1	12	2	18
0.192	1	10	20	3	9	4	26
0.193	1	9	20	4	3	2	18
0.194	1	2	20	5	10	0	7
0.195	1	6	20	6	12	2	18
0.197	1	10	20	8	9	4	26
0.198	1	9	20	9	3	2	18
0.199	1	2	20	10	10	0	7
0.202	1	10	21	3	9	8	49
0.204	1	2	21	5	10	0	7
0.208	1	9	21	9	3	2	18
0.209	1	2	21	10	10	0	7
0.212	1	10	22	3	9	6	32
0.213	1	9	22	4	3	2	18
0.214	1	2	22	5	10	0	7
0.217	1	10	22	8	9	6	32
0.219	1	2	22	10	10	0	7
0.223	1	9	23	4	3	4	26
0.224	1	2	23	5	10	0	7
0.228	1	9	23	9	3	4	26
0.229	1	2	23	10	10	0	7
0.234	1	2	24	5	10	0	7
0.239	1	2	24	10	10	0	7
0.244	1	2	25	5	10	0	7
0.249	1	2	25	10	10	0	7
0.254	1	2	26	5	10	0	7
