% time	cellId	IMSI	RNTI	sinrLinear
0.161	1	4	1	1.03726
0.162	1	7	2	0.871707
0.163	1	9	3	1.66405
0.164	1	5	4	2.81774
0.169	1	10	9	3.46045
0.17	1	2	10	0.469813
0.171	1	8	11	1.042
0.172	1	6	12	0.876842
0.175	1	3	15	1.73246
0.176	1	1	16	0.327282
0.321	1	4	1	1.7328
0.322	1	7	2	3.30983
0.323	1	9	3	4.11361
0.324	1	5	4	1.44385
0.329	1	10	9	3.38652
0.33	1	2	10	0.291729
0.331	1	8	11	1.73095
0.332	1	6	12	2.07897
0.335	1	3	15	0.582943
0.336	1	1	16	0.381219
0.481	1	4	1	1.6721
0.482	1	7	2	0.868276
0.483	1	9	3	2.75198
0.484	1	5	4	2.59944
0.489	1	10	9	3.17624
0.49	1	2	10	1.08276
0.491	1	8	11	3.38259
0.492	1	6	12	2.66896
0.495	1	3	15	1.65733
0.496	1	1	16	0.381296
0.641	1	4	1	0.730095
0.642	1	7	2	2.53231
0.643	1	9	3	5.43672
0.644	1	5	4	1.39792
0.649	1	10	9	2.21174
0.65	1	2	10	1.2192
0.651	1	8	11	2.16761
0.652	1	6	12	2.22451
0.655	1	3	15	1.3996
0.656	1	1	16	0.620494
0.801	1	4	1	1.12443
0.802	1	7	2	2.80495
0.803	1	9	3	2.51065
0.804	1	5	4	1.49916
0.809	1	10	9	4.79193
0.81	1	2	10	0.787626
0.811	1	8	11	2.82782
0.812	1	6	12	3.45323
0.815	1	3	15	1.52431
0.816	1	1	16	0.634061
0.961	1	4	1	2.94248
0.962	1	7	2	2.24796
0.963	1	9	3	3.4094
0.964	1	5	4	0.961446
0.969	1	10	9	2.72898
0.97	1	2	10	0.762849
0.971	1	8	11	2.55244
0.972	1	6	12	1.09859
0.975	1	3	15	1.20578
0.976	1	1	16	0.362532
1.121	1	4	1	0.67305
1.122	1	7	2	1.30155
1.123	1	9	3	3.27963
1.124	1	5	4	0.727847
1.129	1	10	9	2.09063
1.13	1	2	10	0.889288
1.131	1	8	11	2.42577
1.132	1	6	12	2.24357
1.135	1	3	15	1.2185
1.136	1	1	16	0.958923
1.281	1	4	1	1.76269
1.282	1	7	2	2.20446
1.283	1	9	3	3.72707
1.284	1	5	4	1.58381
1.289	1	10	9	3.09491
1.29	1	2	10	0.27141
1.291	1	8	11	2.94428
1.292	1	6	12	2.23214
1.295	1	3	15	0.468572
1.296	1	1	16	0.58803
1.441	1	4	1	1.40827
1.442	1	7	2	1.73438
1.443	1	9	3	2.85971
1.444	1	5	4	1.68114
1.449	1	10	9	1.21169
1.45	1	2	10	0.89845
1.451	1	8	11	3.09549
1.452	1	6	12	1.50596
1.455	1	3	15	1.57421
1.456	1	1	16	0.714346
1.601	1	4	1	1.78204
1.602	1	7	2	1.04021
1.603	1	9	3	2.26009
1.604	1	5	4	1.54425
1.609	1	10	9	1.63495
1.61	1	2	10	0.38435
1.611	1	8	11	3.15313
1.612	1	6	12	2.98164
1.615	1	3	15	0.944398
1.616	1	1	16	0.34751
1.761	1	4	1	2.99632
1.762	1	7	2	1.6137
1.763	1	9	3	7.96774
1.764	1	5	4	0.720196
1.769	1	10	9	2.45798
1.77	1	2	10	0.68048
1.771	1	8	11	2.96202
1.772	1	6	12	2.23215
1.775	1	3	15	2.09947
1.776	1	1	16	0.623626
1.921	1	4	1	1.96745
1.922	1	7	2	2.7847
1.923	1	9	3	5.652
1.924	1	5	4	1.21168
1.929	1	10	9	3.17215
1.93	1	2	10	0.893402
1.931	1	8	11	2.34907
1.932	1	6	12	1.13038
1.935	1	3	15	0.994983
1.936	1	1	16	0.745597
2.081	1	4	1	0.890313
2.082	1	7	2	2.09444
2.083	1	9	3	0.787494
2.084	1	5	4	0.717008
2.089	1	10	9	2.36572
2.09	1	2	10	1.15362
2.091	1	8	11	3.06049
2.092	1	6	12	0.751101
2.095	1	3	15	0.633163
2.096	1	1	16	0.30844
2.241	1	4	1	1.67284
2.242	1	7	2	0.763207
2.243	1	9	3	5.03794
2.244	1	5	4	2.66728
2.249	1	10	9	2.55453
2.25	1	2	10	0.860309
2.251	1	8	11	0.933824
2.252	1	6	12	4.18221
2.255	1	3	15	3.55574
2.256	1	1	16	0.447373
2.401	1	4	1	1.17358
2.402	1	7	2	3.30512
2.403	1	9	3	1.19724
2.404	1	5	4	1.71084
2.409	1	10	9	3.01591
2.41	1	2	10	0.479415
2.411	1	8	11	2.82776
2.412	1	6	12	0.888883
2.415	1	3	15	1.64584
2.416	1	1	16	1.02559
2.561	1	4	1	2.31545
2.562	1	7	2	1.64582
2.563	1	9	3	2.06901
2.564	1	5	4	3.94295
2.569	1	10	9	3.60773
2.57	1	2	10	0.290797
2.571	1	8	11	2.73836
2.572	1	6	12	0.949072
2.575	1	3	15	0.855648
2.576	1	1	16	0.196238
2.721	1	4	1	1.07032
2.722	1	7	2	1.38391
2.723	1	9	3	2.81342
2.724	1	5	4	2.96028
2.729	1	10	9	2.5239
2.73	1	2	10	0.178303
2.731	1	8	11	2.42405
2.732	1	6	12	2.54277
2.735	1	3	15	0.724744
2.736	1	1	16	0.134671
2.881	1	4	1	1.04572
2.882	1	7	2	1.8175
2.883	1	9	3	4.79002
2.884	1	5	4	0.391825
2.889	1	10	9	4.58051
2.89	1	2	10	0.864565
2.891	1	8	11	0.911373
2.892	1	6	12	3.52794
2.895	1	3	15	0.662813
2.896	1	1	16	1.12384
