% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
32	1	5	4	0	0	19	0	1
32	1	7	2	0	0	19	0	1
32	1	9	3	0	0	19	0	1
32	1	4	1	0	0	19	0	1
33	1	5	4	0	0	19	0	1
33	1	7	2	0	0	19	0	1
33	1	9	3	0	0	19	0	1
33	1	4	1	0	0	19	0	1
34	1	5	4	0	0	19	0	1
34	1	7	2	0	0	19	0	1
34	1	9	3	0	0	19	0	1
34	1	4	1	0	0	19	0	1
35	1	7	2	0	0	19	0	1
35	1	4	1	0	0	19	0	1
36	1	5	4	0	0	19	0	1
36	1	7	2	0	0	19	0	1
36	1	9	3	0	0	19	0	1
36	1	4	1	0	0	19	0	1
37	1	5	4	0	0	7	0	1
37	1	6	12	0	0	7	0	1
37	1	7	2	0	0	7	0	1
37	1	8	11	0	0	7	0	1
37	1	9	3	0	0	7	0	1
37	1	4	1	0	0	7	0	1
37	1	2	10	0	0	7	0	1
37	1	10	9	0	0	7	0	1
38	1	5	4	0	0	7	0	1
38	1	6	12	0	0	7	0	1
38	1	7	2	0	0	7	0	1
38	1	8	11	0	0	7	0	1
38	1	9	3	0	0	7	0	1
38	1	4	1	0	0	7	0	1
38	1	2	10	0	0	7	0	1
38	1	10	9	0	0	7	0	1
39	1	5	4	0	2	18	0	1
39	1	6	12	0	0	7	0	1
39	1	7	2	0	0	7	0	1
39	1	8	11	0	0	7	0	1
39	1	9	3	0	2	18	0	1
39	1	2	10	0	0	7	0	1
39	1	10	9	0	0	7	0	1
40	1	5	4	0	2	18	0	1
40	1	6	12	0	0	7	0	1
40	1	7	2	0	0	7	0	1
40	1	8	11	0	0	7	0	1
40	1	9	3	0	2	18	0	1
40	1	2	10	0	0	7	0	1
40	1	10	9	0	0	7	0	1
41	1	5	4	0	2	18	0	1
41	1	6	12	0	0	7	0	1
41	1	7	2	0	0	7	0	1
41	1	8	11	0	0	7	0	1
41	1	9	3	0	2	18	0	1
41	1	2	10	0	0	7	0	1
41	1	10	9	0	0	7	0	1
42	1	5	4	0	2	18	0	1
42	1	6	12	0	0	7	0	1
42	1	8	11	0	0	7	0	1
42	1	9	3	0	2	18	0	1
42	1	2	10	0	0	7	0	1
42	1	10	9	0	0	7	0	1
43	1	5	4	0	2	18	0	1
43	1	6	12	0	0	7	0	1
43	1	8	11	0	0	7	0	1
43	1	9	3	0	4	26	0	1
43	1	2	10	0	0	7	0	1
43	1	10	9	0	0	7	0	1
44	1	6	12	0	0	7	0	1
44	1	7	2	0	4	26	0	1
44	1	8	11	0	0	7	0	1
44	1	9	3	0	2	18	0	1
44	1	2	10	0	0	7	0	1
44	1	10	9	0	0	7	0	1
45	1	5	4	0	0	7	0	1
45	1	7	2	0	4	26	0	1
45	1	9	3	0	0	7	0	1
45	1	2	10	0	0	7	0	1
45	1	10	9	0	0	7	0	1
46	1	9	3	0	2	18	0	1
46	1	4	1	0	4	26	0	1
48	1	5	4	0	0	7	0	1
48	1	9	3	0	2	18	0	1
49	1	7	2	0	4	26	0	1
49	1	9	3	0	2	18	0	1
50	1	5	4	0	0	7	0	1
50	1	7	2	0	4	26	0	1
50	1	9	3	0	0	7	0	1
51	1	9	3	0	2	18	0	1
51	1	4	1	0	4	26	0	1
55	1	7	2	0	0	7	0	1
